grid_cell,grid_lat,grid_lon,volume,impact
"12.97547,77.57611",12.975473,77.576107,7441,22414.5
"12.98,77.6084",12.979995,77.608395,5740,17727.0
"12.93252,77.68911",12.932516,77.689114,4805,12048.5
"12.96417,77.57611",12.964169,77.576107,3853,11740.5
"12.98,77.60609",12.979995,77.606089,3118,9580.5
"12.97547,77.5738",12.975473,77.573801,2926,9051.0
"12.97547,77.57841",12.975473,77.578413,2858,8673.0
"12.96191,77.57611",12.961908,77.576107,2726,8577.0
"12.97321,77.54382",12.973213,77.543819,2725,8280.0
"12.98226,77.60148",12.982256,77.601476,2608,8019.0
"12.99808,77.54843",12.998083,77.548432,2540,7651.5
"12.97773,77.5738",12.977734,77.573801,2479,7641.0
"12.97321,77.57841",12.973213,77.578413,2232,7059.0
"13.00713,77.69373",13.007126,77.693727,2514,6850.5
"12.97773,77.57841",12.977734,77.578413,2115,6390.0
"13.07043,77.58764",13.070432,77.587638,3166,6354.5
"13.00713,77.55304",13.007126,77.553044,2161,6148.5
"12.9393,77.69373",12.939299,77.693727,1260,5365.5
"13.18348,77.67758",13.183479,77.677583,1985,5357.0
"13.03426,77.58764",13.034258,77.587638,2660,5329.0
"12.98,77.59686",12.979995,77.596863,1765,5311.5
"12.97321,77.55074",12.973213,77.550738,1733,5226.0
"12.97773,77.57611",12.977734,77.576107,1721,5188.5
"12.97321,77.57611",12.973213,77.576107,1629,5029.5
"12.96417,77.58303",12.964169,77.583026,1602,4959.0
"12.96417,77.5738",12.964169,77.573801,1543,4846.5
"12.97095,77.57841",12.970952,77.578413,1447,4434.0
"12.96869,77.5738",12.968691,77.573801,1670,4340.0
"13.01165,77.55304",13.011648,77.553044,1895,3813.0
"12.96643,77.5738",12.96643,77.573801,1109,3774.0
"12.96417,77.5369",12.964169,77.5369,1203,3669.0
"12.9913,77.58764",12.9913,77.587638,1186,3559.0
"12.97773,77.60609",12.977734,77.606089,1172,3538.5
"12.99582,77.54843",12.995822,77.548432,1077,3451.5
"12.97547,77.56919",12.975473,77.569188,931,3225.0
"12.97321,77.5738",12.973213,77.573801,1012,3136.5
"12.98226,77.6084",12.982256,77.608395,1431,3098.5
"13.00713,77.56919",13.007126,77.569188,1505,3016.0
"12.99582,77.66836",12.995822,77.668358,814,2991.5
"13.00034,77.54843",13.000344,77.548432,983,2952.0
"12.95739,77.57611",12.957386,77.576107,942,2934.0
"12.98226,77.60609",12.982256,77.606089,976,2930.5
"12.99808,77.56919",12.998083,77.569188,1423,2900.5
"12.97773,77.57149",12.977734,77.571494,927,2853.0
"13.00034,77.67528",13.000344,77.675277,956,2658.5
"12.97321,77.54612",12.973213,77.546125,819,2563.5
"12.98,77.5738",12.979995,77.573801,789,2460.0
"12.98226,77.6107",12.982256,77.610701,1147,2438.0
"12.95286,77.54151",12.952864,77.541513,720,2422.5
"13.00487,77.56919",13.004866,77.569188,1198,2398.5
"12.96417,77.57841",12.964169,77.578413,769,2383.5
"13.00939,77.55304",13.009387,77.553044,1169,2358.5
"12.94382,77.56919",12.94382,77.569188,747,2358.0
"13.01165,77.55074",13.011648,77.550738,1138,2295.0
"12.94156,77.56919",12.941559,77.569188,733,2274.0
"12.99808,77.55074",12.998083,77.550738,756,2271.0
"12.97095,77.65683",12.970952,77.656827,1078,2268.5
"12.99582,77.54612",12.995822,77.546125,679,2203.5
"12.97095,77.59686",12.970952,77.596863,699,2159.0
"13.19026,77.6453",13.190262,77.645295,717,2143.5
"13.18574,77.67989",13.18574,77.679889,890,2045.0
"12.99356,77.58764",12.993561,77.587638,738,2042.0
"12.94834,77.69834",12.948342,77.698339,561,2015.5
"12.93478,77.61531",12.934777,77.615314,671,2006.0
"12.96417,77.57149",12.964169,77.571494,457,1995.0
"12.97547,77.55996",12.975473,77.559963,629,1993.5
"12.96191,77.58072",12.961908,77.58072,613,1923.0
"12.96417,77.71679",12.964169,77.71679,944,1918.0
"13.00713,77.54843",13.007126,77.548432,623,1912.5
"13.00487,77.6845",13.004866,77.684502,857,1908.0
"12.97095,77.57611",12.970952,77.576107,620,1887.0
"12.95965,77.57611",12.959647,77.576107,597,1858.5
"12.96191,77.58303",12.961908,77.583026,586,1804.5
"12.83982,77.6453",12.839818,77.645295,884,1775.0
"12.99582,77.66605",12.995822,77.666052,489,1705.0
"12.98,77.60148",12.979995,77.601476,541,1681.5
"12.9506,77.53921",12.950603,77.539207,460,1653.0
"12.93478,77.69142",12.934777,77.691421,580,1619.0
"12.98678,77.5369",12.986778,77.5369,476,1570.5
"12.93026,77.6845",12.930255,77.684502,643,1555.0
"12.98452,77.55304",12.984517,77.553044,515,1545.0
"12.99356,77.69603",12.993561,77.696033,554,1538.5
"12.97773,77.58072",12.977734,77.58072,562,1516.0
"12.96191,77.59686",12.961908,77.596863,503,1512.0
"12.98226,77.60378",12.982256,77.603782,455,1507.5
"12.97095,77.5369",12.970952,77.5369,475,1444.5
"12.97547,77.55766",12.975473,77.557657,682,1415.5
"12.95965,77.52768",12.959647,77.527675,559,1400.0
"13.00713,77.55535",13.007126,77.555351,554,1392.0
"12.92799,77.57841",12.927994,77.578413,461,1383.0
"12.9913,77.55074",12.9913,77.550738,450,1350.0
"12.98,77.6107",12.979995,77.610701,582,1341.5
"12.95739,77.70065",12.957386,77.700646,582,1336.5
"13.00939,77.54843",13.009387,77.548432,442,1329.0
"12.96417,77.53459",12.964169,77.534594,422,1302.0
"12.9506,77.69834",12.950603,77.698339,358,1300.0
"12.9913,77.55304",12.9913,77.553044,415,1258.5
"13.0026,77.54843",13.002605,77.548432,405,1215.0
"12.96191,77.57841",12.961908,77.578413,385,1197.0
"12.97321,77.58072",12.973213,77.58072,364,1153.5
"12.98904,77.58764",12.989039,77.587638,382,1146.0
"12.97095,77.58072",12.970952,77.58072,374,1146.0
"12.98,77.55766",12.979995,77.557657,355,1141.5
"12.96869,77.6453",12.968691,77.645295,409,1140.0
"12.97321,77.61301",12.973213,77.613007,545,1131.0
"12.96643,77.57611",12.96643,77.576107,373,1131.0
"13.00487,77.56688",13.004866,77.566882,564,1130.5
"12.97547,77.54382",12.975473,77.543819,372,1129.5
"12.91217,77.63376",12.912167,77.633764,563,1128.5
"12.96643,77.58764",12.96643,77.587638,368,1111.5
"12.99808,77.67528",12.998083,77.675277,392,1097.0
"12.9506,77.71679",12.950603,77.71679,295,1093.0
"13.00713,77.69603",13.007126,77.696033,355,1092.5
"12.9393,77.58303",12.939299,77.583026,372,1089.5
"12.97773,77.69373",12.977734,77.693727,364,1087.0
"12.93704,77.69603",12.937038,77.696033,379,1082.5
"12.93252,77.68681",12.932516,77.686808,403,1080.5
"13.00034,77.56919",13.000344,77.569188,515,1053.5
"12.96869,77.64068",12.968691,77.640683,494,1045.0
"12.99356,77.56919",12.993561,77.569188,520,1042.5
"12.93478,77.68911",12.934777,77.689114,439,1036.0
"12.95512,77.70065",12.955125,77.700646,404,1028.0
"12.97547,77.58072",12.975473,77.58072,333,1026.0
"13.04556,77.5738",13.045562,77.573801,507,1016.0
"12.92573,77.67758",12.925733,77.677583,496,1007.0
"12.97095,77.70987",12.970952,77.709871,364,990.5
"12.96643,77.57841",12.96643,77.578413,327,989.0
"12.99808,77.55304",12.998083,77.553044,327,985.5
"12.98904,77.54843",12.989039,77.548432,255,982.5
"12.98226,77.57611",12.982256,77.576107,318,975.0
"13.07043,77.58533",13.070432,77.585332,484,973.0
"12.97321,77.54843",12.973213,77.548432,305,966.0
"12.89182,77.63607",12.891819,77.63607,474,959.0
"12.99356,77.61301",12.993561,77.613007,475,952.5
"12.98904,77.57149",12.989039,77.571494,467,952.5
"12.91669,77.57149",12.916689,77.571494,311,948.0
"12.99582,77.55074",12.995822,77.550738,305,946.5
"12.99808,77.53921",12.998083,77.539207,309,945.0
"13.00713,77.52537",13.007126,77.525369,279,945.0
"13.0953,77.59917",13.095303,77.59917,460,935.0
"12.90991,77.63607",12.909906,77.63607,466,932.0
"12.96643,77.53459",12.96643,77.534594,298,931.5
"12.99582,77.56227",12.995822,77.562269,458,918.5
"12.92573,77.58533",12.925733,77.585332,254,916.5
"12.96869,77.53459",12.968691,77.534594,290,913.5
"12.96417,77.55304",12.964169,77.553044,380,913.0
"12.98678,77.73293",12.986778,77.732934,391,912.5
"13.00939,77.69603",13.009387,77.696033,307,909.0
