grid_cell,grid_lat,grid_lon,n_events,weighted,high_sev,active_days,zone,cum_share
"12.97547,77.57611",12.975473,77.576107,7441,14913,31,151,Upparpet,0.0306
"12.98,77.6084",12.979995,77.608395,5740,11749,269,150,Shivajinagar,0.0542
"12.93252,77.68911",12.932516,77.689114,4805,10613,1003,93,HAL Old Airport,0.0739
"12.96417,77.57611",12.964169,77.576107,3853,7770,64,150,City Market,0.0898
"13.07043,77.58764",13.070432,77.587638,3166,6341,9,121,Kodigehalli,0.1028
"12.98,77.60609",12.979995,77.606089,3118,6323,87,143,Shivajinagar,0.1156
"12.97547,77.5738",12.975473,77.573801,2926,5945,93,149,Upparpet,0.1276
"13.00713,77.69373",13.007126,77.693727,2514,5766,738,149,K.R. Pura,0.138
"12.97547,77.57841",12.975473,77.578413,2858,5750,34,146,Upparpet,0.1497
"12.96191,77.57611",12.961908,77.576107,2726,5593,141,143,City Market,0.1609
"12.97321,77.54382",12.973213,77.543819,2725,5493,43,112,Vijayanagara,0.1721
"13.03426,77.58764",13.034258,77.587638,2660,5326,6,134,Hebbala,0.1831
"12.98226,77.60148",12.982256,77.601476,2608,5285,69,130,Shivajinagar,0.1938
"12.99808,77.54843",12.998083,77.548432,2540,5093,13,135,Rajajinagar,0.2042
"12.97773,77.5738",12.977734,77.573801,2479,5029,71,146,Upparpet,0.2144
"12.97321,77.57841",12.973213,77.578413,2232,4585,121,142,Upparpet,0.2236
"13.18348,77.67758",13.183479,77.677583,1985,4541,571,142,Chikkajala,0.2317
"13.00713,77.55304",13.007126,77.553044,2161,4324,2,130,Malleshwaram,0.2406
"12.97773,77.57841",12.977734,77.578413,2115,4245,15,132,Upparpet,0.2493
"13.01165,77.55304",13.011648,77.553044,1895,3801,11,143,Malleshwaram,0.2571
"12.9393,77.69373",12.939299,77.693727,1260,3660,1140,66,HAL Old Airport,0.2623
"12.98,77.59686",12.979995,77.596863,1765,3537,7,107,Shivajinagar,0.2695
"12.97321,77.55074",12.973213,77.550738,1733,3481,15,108,Magadi Road,0.2767
"12.97773,77.57611",12.977734,77.576107,1721,3452,10,139,Upparpet,0.2837
"12.96869,77.5738",12.968691,77.573801,1670,3364,24,139,City Market,0.2906
"12.97321,77.57611",12.973213,77.576107,1629,3306,48,144,Upparpet,0.2973
"12.96417,77.58303",12.964169,77.583026,1602,3259,55,119,Halasuru Gate,0.3039
"12.96417,77.5738",12.964169,77.573801,1543,3159,73,123,City Market,0.3102
"13.00713,77.56919",13.007126,77.569188,1505,3013,3,135,Malleshwaram,0.3164
"12.97095,77.57841",12.970952,77.578413,1447,2925,31,111,Upparpet,0.3224
"12.98226,77.6084",12.982256,77.608395,1431,2869,7,114,Shivajinagar,0.3282
"12.99808,77.56919",12.998083,77.569188,1423,2869,23,140,Malleshwaram,0.3341
"12.96417,77.5369",12.964169,77.5369,1203,2426,20,82,Vijayanagara,0.339
"13.00487,77.56919",13.004866,77.569188,1198,2397,1,110,Malleshwaram,0.344
"12.9913,77.58764",12.9913,77.587638,1186,2390,18,80,High ground,0.3488
"12.98226,77.6107",12.982256,77.610701,1147,2375,81,120,Shivajinagar,0.3535
"12.96643,77.5738",12.96643,77.573801,1109,2373,155,112,Chamarajpet,0.3581
"12.97773,77.60609",12.977734,77.606089,1172,2355,11,121,Shivajinagar,0.3629
"13.00939,77.55304",13.009387,77.553044,1169,2348,10,117,Malleshwaram,0.3677
"13.01165,77.55074",13.011648,77.550738,1138,2286,10,131,Malleshwaram,0.3724
"12.97095,77.65683",12.970952,77.656827,1078,2234,78,96,Jeevanbheemanagar,0.3768
"12.99582,77.54843",12.995822,77.548432,1077,2228,74,123,Vijayanagara,0.3813
"13.00034,77.67528",13.000344,77.675277,956,2228,316,96,Banaswadi,0.3852
"12.99582,77.66836",12.995822,77.668358,814,2189,561,117,Mahadevapura,0.3885
"12.97321,77.5738",12.973213,77.573801,1012,2058,34,123,Upparpet,0.3927
"12.97547,77.56919",12.975473,77.569188,931,2009,147,103,Chamarajpet,0.3965
"12.98226,77.60609",12.982256,77.606089,976,1982,30,105,Shivajinagar,0.4005
"13.00034,77.54843",13.000344,77.548432,983,1967,1,103,Malleshwaram,0.4046
"12.95739,77.57611",12.957386,77.576107,942,1920,36,109,City Market,0.4085
"12.96417,77.71679",12.964169,77.71679,944,1900,12,61,HAL Old Airport,0.4123
"13.18574,77.67989",13.18574,77.679889,890,1886,106,107,Chikkajala,0.416
"12.97773,77.57149",12.977734,77.571494,927,1878,24,119,Upparpet,0.4198
"13.00487,77.6845",13.004866,77.684502,857,1794,80,77,K.R. Pura,0.4233
"12.83982,77.6453",12.839818,77.645295,884,1772,4,86,Electronic City,0.427
"13.19026,77.6453",13.190262,77.645295,717,1719,285,90,Chikkajala,0.4299
"12.97321,77.54612",12.973213,77.546125,819,1675,37,73,Vijayanagara,0.4333
"12.98,77.5738",12.979995,77.573801,789,1610,32,113,Upparpet,0.4365
"12.96417,77.57841",12.964169,77.578413,769,1565,27,117,Halasuru Gate,0.4397
"12.94382,77.56919",12.94382,77.569188,747,1534,40,122,Basavanagudi,0.4427
"12.95286,77.54151",12.952864,77.541513,720,1532,92,105,Byatarayanapura,0.4457
"12.99808,77.55074",12.998083,77.550738,756,1514,2,99,Malleshwaram,0.4488
"12.94156,77.56919",12.941559,77.569188,733,1491,25,105,Basavanagudi,0.4518
"12.94834,77.69834",12.948342,77.698339,561,1480,358,63,HAL Old Airport,0.4541
"12.99356,77.58764",12.993561,77.587638,738,1476,0,42,High ground,0.4572
"12.97095,77.59686",12.970952,77.596863,699,1419,21,105,Cubbon Park,0.46
"12.99582,77.54612",12.995822,77.546125,679,1414,56,102,Vijayanagara,0.4628
"12.93026,77.6845",12.930255,77.684502,643,1402,116,87,HAL Old Airport,0.4655
"12.97547,77.55766",12.975473,77.557657,682,1382,18,95,Magadi Road,0.4683
"12.93478,77.61531",12.934777,77.615314,671,1381,39,85,Adugodi,0.471
"12.93478,77.69142",12.934777,77.691421,580,1346,186,68,HAL Old Airport,0.4734
"12.99356,77.69603",12.993561,77.696033,554,1312,204,47,Mahadevapura,0.4757
"12.97547,77.55996",12.975473,77.559963,629,1294,36,103,Magadi Road,0.4783
"12.99582,77.66605",12.995822,77.666052,489,1279,301,103,Mahadevapura,0.4803
