rank,junction_clean,volume,impact,active_days,active_cells,high_sev_events,junction_events,top_violation,top_vehicle,peak_dow,peak_hour,intensity,c_volume,c_impact,c_recur,c_intensity,priority_score,impact_share,cum_impact_share,volume_share,cum_volume_share
1,BTP051 - Safina Plaza Junction,11792,36252.0,151,16,412,11792,WRONG PARKING,SCOOTER,Sunday,10,737.0,1.0,1.0,1.0,0.474193132493876,92.11289698740812,0.0943926073184735,0.0943926073184735,0.0957648109798189,0.0957648109798189
2,BTP040 - Elite Junction,9316,28212.0,151,6,90,9316,NO PARKING,SCOOTER,Saturday,9,1552.6666666666667,0.7899558873430608,0.7781456953642384,1.0,1.0,85.93377595804016,0.07345813300421423,0.16785074032268774,0.07565679944776059,0.17142161042757947
3,BTP082 - KR Market Junction,9536,29391.0,151,10,281,9536,WRONG PARKING,SCOOTER,Sunday,0,953.6,0.8086189345096708,0.8106788079470199,1.0,0.6138209635136878,81.83964076614113,0.07652800181223808,0.24437874213492583,0.07744345636902586,0.24886506679660533
4,BTP044 - Sagar Theatre Junction,8808,27123.0,151,10,234,8808,NO PARKING,SCOOTER,Sunday,9,880.8,0.7468612147947065,0.7480960264900662,1.0,0.5668915724784047,77.09257095816959,0.0706226053265739,0.3150013474614997,0.07153124619320259,0.3203963129898079
5,BTP058 - Subbanna Junction,4463,13485.0,149,12,34,4463,NO PARKING,CAR,Sunday,1,371.9166666666667,0.37826603325415675,0.37177152317880796,0.9864864864864865,0.2388478232841979,47.67243138787568,0.03511211270246097,0.35011346016396067,0.03624477199821334,0.3566410849880213
6,BTP211 - Central Street Junction,4133,12969.0,149,14,208,4133,WRONG PARKING,PASSENGER AUTO,Sunday,10,295.2142857142857,0.3502714625042416,0.3575331125827815,0.9864864864864865,0.18940282288513843,45.59257488853141,0.03376855688826225,0.3838820170522229,0.03356478661631543,0.39020587160433673
7,BTP027 - Modi Bridge Junction,3511,10788.0,147,7,88,3511,WRONG PARKING,SCOOTER,Tuesday,8,501.57142857142856,0.2975059382422803,0.29735099337748344,0.972972972972973,0.3224277548915479,43.62833869831301,0.02808969016196878,0.4119717072141917,0.02851342022982905,0.4187192918341658
8,BTP057 - Anand Rao Junction,3300,10258.5,147,10,122,3300,WRONG PARKING,CAR,Sunday,9,330.0,0.2796063793688497,0.28274006622516556,0.972972972972973,0.21182689415101638,40.92095657067099,0.026710983178212525,0.4386826903924042,0.026799853818979168,0.44551914565314493
9,"BTP080 - NR Road, SP Road Junction",2976,9229.5,140,7,106,2976,WRONG PARKING,SCOOTER,Tuesday,10,425.14285714285717,0.25212080081438754,0.2543460264900662,0.9256756756756757,0.27315926155584075,39.07663738843507,0.02403168292082785,0.46271437331323206,0.02416859544402485,0.46968774109716976
10,BTP045 - Danvanthri Road Junction,2582,8004.0,147,6,89,2582,WRONG PARKING,CAR,Monday,10,430.3333333333333,0.2186969799796403,0.2205298013245033,0.972972972972973,0.27650522153938717,37.886490228297085,0.020840737862105867,0.48355511117533795,0.020968855321395218,0.49065659641856496
11,BTP020 - Hosahalli Metro Station,3106,9430.5,118,9,46,3106,WRONG PARKING,SCOOTER,Tuesday,4,345.1111111111111,0.2631489650492026,0.2598923841059603,0.777027027027027,0.2215680375893535,35.85476349956553,0.02455504477868433,0.5081101559540223,0.025224347261136152,0.5158809436797012
12,"BTP083 - AS Char Street, Mysore Road",2286,8113.5,138,8,429,2286,WRONG PARKING,PASSENGER AUTO,Sunday,0,285.75,0.19358669833729217,0.22355132450331125,0.9121621621621622,0.18330181786926814,34.62466781901693,0.02112585290407246,0.5292360088580947,0.018564989645511024,0.5344459333252122
13,"BTP001 - 10th Cross, Dr. Rajkumar Road",2442,7338.0,140,9,5,2442,WRONG PARKING,CAR,Sunday,10,271.3333333333333,0.20682049541907024,0.2021523178807947,0.9256756756756757,0.17400833727276635,34.40358456100493,0.01910661349726797,0.5483426223553627,0.019831891826044584,0.5542778251512568
14,BTP108 - Tagore Park Junction,1524,4771.5,138,8,67,1524,WRONG PARKING,SCOOTER,Sunday,11,190.5,0.12894468951476076,0.13133278145695365,0.9121621621621622,0.12190038248313206,28.536737016926427,0.012423985595831853,0.5607666079511945,0.012376659763674016,0.5666544849149308
15,BTP023 - Mahalaxmi Layout Entrance,1545,4702.5,138,9,29,1545,WRONG PARKING,SCOOTER,Saturday,10,171.66666666666666,0.13072616219884628,0.12942880794701986,0.9121621621621622,0.10975976621255747,28.341432880542694,0.012244324062537837,0.5730109320137323,0.01254720428797661,0.5792016892029074
16,BTP043 - Upparpet Junction,1433,4350.0,139,8,17,1433,WRONG PARKING,SCOOTER,Tuesday,5,179.125,0.12122497455039023,0.11970198675496689,0.918918918918919,0.1145676651338691,27.92321212832196,0.011326487968535798,0.5843374199822681,0.011637633491696105,0.5908393226946035
17,BTP032 - Windsor Circle,2241,6862.5,102,11,59,2241,WRONG PARKING,SCOOTER,Wednesday,3,203.72727272727272,0.18976925687139465,0.18903145695364237,0.668918918918919,0.13042713872143585,27.643964158719243,0.017868511191741817,0.6022059311740099,0.018199537093434037,0.6090388597880375
18,BTP038 - Mysore Bank Junction,1630,5020.5,131,12,46,1630,WRONG PARKING,CAR,Wednesday,9,135.83333333333334,0.13793688496776382,0.13820364238410596,0.8648648648648649,0.08666036357385362,27.572436783381722,0.013072329389892867,0.6152782605639028,0.013237503553010923,0.6222763633410484
19,BTP042 - Minsk Square Junction (CTO),1772,5338.5,108,8,9,1772,WRONG PARKING,SCOOTER,Thursday,4,221.5,0.1499830335934849,0.14697847682119206,0.7094594594594594,0.14188405174266192,25.961187661875385,0.013900334717247899,0.6291785952811507,0.014390709384009421,0.6366670727250578
20,"BTP070 - Cholurpalya Junction, Magadi Road",1630,4965.0,113,8,31,1630,NO PARKING,SCOOTER,Monday,11,203.75,0.13793688496776382,0.13667218543046358,0.7432432432432432,0.13044178950535046,25.74312474654426,0.012927819026156376,0.6421064143073071,0.013237503553010923,0.6499045762780687
21,"BTP016 - 5th Main Road, RPC Layout",1862,5701.5,100,9,39,1862,WRONG PARKING,SCOOTER,Saturday,11,206.88888888888889,0.15761791652527996,0.15699503311258278,0.6554054054054054,0.13246522555044624,25.318450146063597,0.014845510609794678,0.6569519249171017,0.015121614488163397,0.6650261907662322
22,"BTP182 - 19th Main Junction, Rajajinagar",1162,3517.5,120,7,11,1162,WRONG PARKING,CAR,Sunday,8,166.0,0.0982354937224296,0.09673013245033113,0.7905405405405406,0.10610683742318106,23.735032819593005,0.009158832512488429,0.6661107574295901,0.009436797011410241,0.6744629877776424
23,BTP048 - Shanthala Junction,1253,4419.0,113,9,225,1253,NO PARKING,PASSENGER AUTO,Saturday,2,139.22222222222223,0.10595520868680014,0.12160596026490066,0.7432432432432432,0.08884495824201011,23.632404108370544,0.011506149501829814,0.67761690693142,0.010175823283388152,0.6846388110610305
24,BTP104 - Medical College Circle,1174,3640.5,113,5,40,1174,WRONG PARKING,SCOOTER,Wednesday,11,234.8,0.0992534781133356,0.10012417218543046,0.7432432432432432,0.15045769048949245,23.603680592097383,0.009479098724012544,0.6870960056554325,0.009534251025297438,0.694173062086328
25,"BTP022 - Marenahalli Junction, Vijayanagar",930,2871.0,120,7,30,930,WRONG PARKING,SCOOTER,Thursday,10,132.85714285714286,0.07855446216491348,0.07889072847682119,0.7905405405405406,0.08474180853741643,22.199747300508207,0.007475482059233626,0.6945714877146661,0.007552686076257766,0.7017257481625858
26,BTP061 - Bhashyam Circle,847,2551.5,117,4,4,847,NO PARKING,SCOOTER,Friday,9,211.75,0.07151340346114693,0.07007450331125828,0.7702702702702703,0.13559886544329364,22.03739810678326,0.006643571046372204,0.7012150587610384,0.0068786291468713205,0.7086043773094571
27,BTP010 - Rajajinagar Entrance,797,2479.5,123,9,31,797,NO PARKING,SCOOTER,Saturday,11,88.55555555555556,0.0672718018323719,0.06808774834437085,0.8108108108108109,0.05618347730170326,21.460193622765903,0.006456098142065405,0.7076711569031038,0.006472570755674666,0.7150769480651318
28,BTP063 - Siddalingaiah Circle,922,2907.0,116,9,47,922,NO PARKING,CAR,Thursday,9,102.44444444444444,0.07787580590430947,0.0798841059602649,0.7635135135135135,0.06513673413841019,21.37953916808498,0.007569218511387026,0.7152403754144908,0.0074877167336663015,0.7225646647987981
